@relation _tm450

@attribute 6c:aa:b3:77:bb:1c integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:6c:55:8c integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 6c:aa:b3:b7:bb:17 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 68:b6:fc:0b:10:78 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 00:1b:11:a8:31:ec integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 68:b6:fc:0b:10:7c integer
@attribute 84:18:3a:2c:55:8c integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:a9:05:37 integer
@attribute 6c:aa:b3:b8:39:a7 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 00:0e:8f:18:9a:93 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 6c:aa:b3:37:bb:1c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 00:1b:11:bc:01:a2 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 84:18:3a:29:05:38 integer

@attribute ROOM {4023,4040,4039,4037,unknown,4038,4004,4005,4006,4007,}

@data

0,11,19,27,12,0,0,0,49,9,10,0,0,0,0,0,7,0,49,18,0,10,12,0,11,10,0,0,0,26,0,13,0,19,10,0,0,11,4004
0,10,19,31,12,0,18,0,49,9,10,44,0,23,0,0,7,0,49,18,0,10,12,0,11,10,44,0,20,30,0,14,0,18,10,19,0,11,4004
0,8,20,33,12,0,18,0,49,9,12,44,0,23,0,0,7,0,49,19,0,10,12,0,11,11,44,0,20,32,0,14,0,10,11,19,0,11,4004
0,10,20,29,12,0,18,0,51,9,12,44,0,23,0,0,7,0,48,20,0,13,12,0,11,11,44,0,20,28,0,14,0,10,11,19,0,12,4004
0,11,16,26,12,0,18,0,59,9,12,44,0,23,0,0,7,0,0,14,0,19,12,0,12,11,44,0,20,26,0,16,0,10,11,19,0,20,4004
0,10,20,27,15,0,18,0,61,9,0,44,0,23,0,0,7,0,61,18,0,19,12,0,14,0,44,0,20,27,0,16,0,20,0,19,0,20,4004
0,13,11,21,17,0,0,0,42,0,0,39,33,0,0,0,0,0,45,10,0,28,0,0,13,0,39,0,0,21,0,17,0,29,0,0,0,13,4005
0,10,11,21,17,0,0,0,42,0,0,39,33,0,0,0,0,0,45,10,0,82,0,0,12,0,39,0,0,22,0,17,0,32,0,0,0,9,4005
0,16,11,21,17,0,0,0,42,0,0,39,33,0,0,0,0,0,45,10,0,9,0,0,16,0,39,0,0,21,0,19,0,32,0,0,0,9,4005
0,21,11,16,0,0,0,0,42,0,0,39,33,0,0,0,0,0,42,10,0,9,0,0,21,0,39,0,0,15,0,0,0,32,0,0,0,9,4005
0,30,9,20,0,0,0,0,42,0,0,39,33,0,0,0,0,0,42,10,0,0,0,0,29,0,39,0,0,19,0,0,0,29,0,0,0,9,4005
