Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-09 08:08:44";"8";"deflate";"2";"1";"0";"58";"22";"95";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:44";"23";"deflate";"88";"0";"0";"792";"614";"1520";"big-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:46";"7";"deflate";"2";"0";"0";"50";"18";"79";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:47";"7";"deflate";"3";"1";"0";"61";"21";"93";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:47";"6";"deflate";"2";"2";"0";"49";"19";"81";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:47";"7";"deflate";"2";"1";"0";"47";"21";"81";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:47";"7";"deflate";"2";"1";"0";"40";"16";"67";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:48";"6";"deflate";"3";"1";"0";"45";"16";"72";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:48";"7";"deflate";"3";"0";"0";"43";"16";"71";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
"2013-07-09 08:08:48";"7";"deflate";"2";"1";"0";"40";"20";"72";"minimal-data.xml";"27.0.1453.116";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
