Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-09 08:06:20";"9";"deflate";"3";"2";"0";"51";"24";"92";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:20";"22";"deflate";"109";"1";"0";"834";"695";"1663";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:22";"8";"deflate";"3";"1";"0";"75";"19";"109";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:23";"9";"deflate";"3";"2";"0";"52";"18";"87";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:23";"9";"deflate";"3";"1";"0";"56";"20";"91";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:23";"8";"deflate";"3";"1";"0";"121";"15";"151";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:23";"9";"deflate";"3";"2";"0";"48";"17";"79";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:23";"8";"deflate";"3";"1";"0";"58";"18";"89";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:24";"9";"deflate";"3";"1";"0";"49";"17";"81";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:24";"8";"deflate";"3";"1";"0";"54";"19";"88";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:24";"8";"deflate";"3";"1";"0";"102";"16";"133";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:24";"8";"deflate";"3";"1";"0";"44";"17";"76";"minimal-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:24";"22";"deflate";"105";"1";"0";"814";"655";"1599";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:26";"22";"deflate";"106";"0";"0";"778";"632";"1542";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:28";"23";"deflate";"108";"1";"0";"909";"624";"1666";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:30";"22";"deflate";"110";"1";"0";"1010";"639";"1782";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:32";"23";"deflate";"108";"1";"0";"869";"640";"1641";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:34";"23";"deflate";"107";"1";"0";"782";"640";"1554";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:36";"22";"deflate";"106";"0";"0";"908";"640";"1679";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:38";"25";"deflate";"107";"0";"0";"1000";"639";"1774";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
"2013-07-09 08:06:40";"22";"deflate";"110";"1";"0";"879";"640";"1655";"big-data.xml";"29.0.1528.0";"Chrome";"Chrome";"5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1528.0 Safari/537.36"
