Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-08 10:38:30";"210";"deflate";"34";"30";"0";"4114";"350";"4779";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:38:36";"329";"deflate";"1413";"30";"0";"8381";"16398";"26604";"big-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:04";"1712";"deflate";"19";"29";"0";"288";"371";"2459";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:07";"11";"deflate";"43";"5";"0";"321";"373";"802";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:10";"609";"deflate";"32";"12";"0";"396";"349";"1449";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:12";"85";"deflate";"20";"5";"0";"341";"342";"818";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:14";"556";"deflate";"19";"12";"0";"356";"349";"1338";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:16";"74";"deflate";"21";"15";"0";"700";"410";"1243";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:18";"69";"deflate";"18";"6";"0";"373";"341";"850";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:21";"401";"deflate";"34";"25";"0";"596";"338";"1438";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:23";"110";"deflate";"48";"6";"0";"436";"272";"892";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:25";"575";"deflate";"24";"18";"0";"288";"366";"1310";"minimal-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:27";"64";"deflate";"1130";"7";"0";"8712";"16752";"26688";"big-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:39:59";"55";"deflate";"1031";"13";"0";"7910";"13101";"22138";"big-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:40:29";"128";"deflate";"1340";"17";"0";"7656";"12864";"22033";"big-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-08 10:40:56";"2527";"deflate";"1076";"14";"0";"8523";"12987";"25162";"big-data.xml";" 4.0.3";"Android";"HTCDesireC/2.00.111.2";"5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; HTC_Desire_C/2.00.111.2 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
