Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-09 11:26:36";"15";"deflate";"61";"13";"0";"446";"254";"814";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:26:38";"55";"deflate";"1652";"6";"0";"6107";"22104";"29943";"big-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:11";"13";"deflate";"34";"3";"0";"406";"285";"753";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:13";"9";"deflate";"29";"9";"0";"220";"354";"630";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:15";"20";"deflate";"34";"3";"0";"219";"260";"553";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:16";"17";"deflate";"40";"6";"0";"230";"264";"570";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:18";"8";"deflate";"41";"15";"0";"203";"314";"592";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:19";"8";"deflate";"37";"4";"0";"218";"260";"534";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:20";"9";"deflate";"41";"4";"0";"208";"249";"524";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-09 11:27:21";"10";"deflate";"28";"3";"0";"213";"261";"543";"minimal-data.xml";" 4.1.2";"Android";"HTC-Desire";"5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; HTC Desire Build/CM10; CyanogenMod-10.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
