Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-05 14:06:07";"7";"deflate";"13";"8";"0";"424";"261";"732";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:08";"33";"deflate";"661";"4";"0";"4338";"11323";"16379";"big-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:26";"15";"deflate";"11";"3";"0";"126";"172";"339";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:27";"15";"deflate";"24";"9";"0";"244";"273";"580";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:30";"8";"deflate";"24";"3";"0";"183";"203";"437";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:31";"30";"deflate";"53";"15";"0";"453";"176";"754";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:33";"327";"deflate";"10";"3";"0";"122";"275";"772";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:34";"6";"deflate";"27";"3";"0";"344";"310";"705";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:35";"13";"deflate";"26";"5";"0";"210";"275";"541";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 14:06:37";"5";"deflate";"12";"5";"0";"213";"330";"574";"minimal-data.xml";" 4.1.2";"Android";"Desire-S";"5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; Desire S Build/JZO54K; CyanogenMod-10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
