Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-05 13:06:13";"8";"deflate";"29";"7";"0";"122";"169";"347";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:14";"110";"deflate";"710";"4";"0";"2607";"5668";"9107";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:33";"6";"deflate";"20";"3";"0";"120";"140";"296";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:34";"890";"deflate";"16";"3";"0";"99";"124";"1140";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:35";"6";"deflate";"18";"4";"0";"117";"127";"280";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:35";"5";"deflate";"15";"9";"0";"109";"165";"311";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:36";"6";"deflate";"15";"3";"0";"106";"138";"273";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:37";"6";"deflate";"15";"4";"0";"107";"156";"296";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:37";"4";"deflate";"31";"2";"0";"129";"154";"327";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:38";"119";"deflate";"14";"4";"0";"106";"124";"375";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:38";"5";"deflate";"17";"4";"0";"103";"135";"270";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:39";"5";"deflate";"16";"4";"0";"137";"187";"360";"minimal-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:40";"13";"deflate";"778";"4";"0";"2537";"5439";"8778";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:06:57";"14";"deflate";"830";"4";"0";"6023";"8318";"15202";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:07:26";"19";"deflate";"1270";"11";"0";"5507";"5822";"12656";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:07:50";"13";"deflate";"731";"4";"0";"4443";"7578";"12776";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:08:16";"22";"deflate";"1352";"8";"0";"6471";"10768";"18632";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:08:46";"26";"deflate";"1505";"28";"0";"5914";"11456";"18947";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:09:13";"21";"deflate";"727";"9";"0";"3309";"6350";"10427";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:09:32";"22";"deflate";"753";"6";"0";"4861";"10339";"15996";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:10:01";"1582";"deflate";"1298";"11";"0";"4232";"9897";"17041";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 13:10:31";"27";"deflate";"1263";"11";"0";"3299";"6519";"11142";"big-data.xml";" 4.1.2";"Android";"GT-N7000";"5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-N7000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
