Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-05 11:49:42";"5";"deflate";"8";"5";"0";"103";"134";"263";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:49:42";"1151";"deflate";"397";"5";"0";"2967";"5604";"10134";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:49:55";"5";"deflate";"7";"5";"0";"96";"131";"254";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:49:56";"1319";"deflate";"8";"4";"0";"121";"135";"1594";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:49:58";"1193";"deflate";"7";"5";"0";"125";"153";"1491";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:00";"1325";"deflate";"8";"5";"0";"113";"133";"1593";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:02";"1189";"deflate";"8";"4";"0";"266";"135";"1609";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:03";"1175";"deflate";"7";"5";"0";"109";"136";"1441";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:05";"1336";"deflate";"7";"4";"0";"82";"111";"1548";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:07";"1178";"deflate";"8";"5";"0";"98";"130";"1427";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:09";"1170";"deflate";"7";"4";"0";"274";"132";"1598";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:11";"1323";"deflate";"7";"7";"0";"132";"146";"1623";"minimal-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:13";"1190";"deflate";"385";"5";"0";"2858";"5951";"10397";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:26";"20";"deflate";"379";"5";"0";"2843";"5337";"8593";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:38";"18";"deflate";"366";"6";"0";"2870";"5738";"9009";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:50:50";"18";"deflate";"374";"7";"0";"2905";"5512";"8825";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:51:01";"28";"deflate";"379";"6";"0";"2828";"5779";"9028";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:51:14";"17";"deflate";"375";"7";"0";"2057";"5375";"7840";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:51:34";"82";"deflate";"531";"9";"0";"2281";"4888";"7804";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:51:43";"23";"deflate";"358";"3";"0";"2805";"4426";"7620";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:51:57";"14";"deflate";"371";"13";"0";"2937";"4646";"7991";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
"2013-07-05 11:52:12";"15";"deflate";"371";"7";"0";"2883";"5363";"8657";"big-data.xml";" 4.1.1";"Android";"HTCOneX";"5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30";"Mozilla/5.0 (Linux; U; Android 4.1.1; de-de; HTC_One_X Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
