Date;loadxml;Compression;browserBasedXmlParsing;firstXMLparse;PURE_DOWNLOAD_DUMMY;SVG download and parse;parseXmlAndBuildOverlay;everything;file;Version;OS;model;appVersion;userAgent
"2013-07-05 11:54:36";"26";"deflate";"16";"14";"0";"197";"117";"390";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:37";"51";"deflate";"358";"2";"0";"1079";"2158";"3652";"big-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:41";"17";"deflate";"9";"2";"0";"131";"79";"242";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:42";"205";"deflate";"5";"2";"0";"141";"48";"404";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:42";"9";"deflate";"14";"1";"0";"130";"53";"212";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:43";"7";"deflate";"5";"1";"0";"508";"41";"565";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:44";"9";"deflate";"9";"3";"0";"131";"47";"204";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:44";"11";"deflate";"8";"1";"0";"191";"47";"262";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:45";"9";"deflate";"15";"1";"0";"115";"48";"193";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
"2013-07-05 11:54:45";"10";"deflate";"4";"1";"0";"212";"46";"285";"minimal-data.xml";" 4.2.2";"Android";"Nexus-10";"5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36";"Mozilla/5.0 (Linux; Android 4.2.2; Nexus 10 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
